voltage,gapDistance,stackSize,flameHeight,meanCUR,sdCUR,CURPUL,maxLKCUR,maxFRHtemp,maxERtemp,meanCHtemp
24.5,30,20,62,17.66721,0.1476,4.8643,44.7,336,167,243
25.8,30,20,62,18.57768,0.1439,4.7961,45.6,342,172,251
22.2,30,20,62,18.50607,0.1427,5.0168,43.8,339,163,249
22.8,30,26,73,21.98427,0.157,5.1611,53.7,608,493,615
25.1,30,26,73,23.03796,0.1528,5.2034,54.5,602,496,608
20.5,30,26,73,21.59553,0.1496,5.1192,53.1,612,486,598
20.8,30,32,82,26.40363,0.143,5.7017,58.2,564,592,663
22.9,30,32,82,25.54431,0.1464,5.7749,57.4,571,589,653
18.7,30,32,82,25.08396,0.1528,5.6758,59.1,569,583,661
29.2,35,20,62,26.10975,0.1527,4.9653,55.8,361,158,218
31.7,35,20,62,26.54772,0.1512,5.0785,56.4,346,163,214
26.8,35,20,62,24.78461,0.1486,5.0246,54.6,351,152,209
27,35,26,73,30.78143,0.058,5.5379,62.3,611,478,586
29.5,35,26,73,29.79319,0.0894,5.6124,63.2,618,472,579
24.6,35,26,73,31.93812,0.1057,5.4715,61.5,613,465,571
24.2,35,32,82,32.70176,0.1546,6.3868,69.8,557,576,647
26.5,35,32,82,31.93812,0.1529,6.2743,70.8,562,566,642
22,35,32,82,32.19641,0.1643,6.3352,68.6,568,567,653
34.4,40,20,62,33.01998,0.1537,5.3618,60.1,336,143,213
37.3,40,20,62,32.92254,0.1528,5.4227,61.3,350,141,204
31.6,40,20,62,33.97002,0.1489,5.4654,59.3,345,149,218
30.7,40,26,73,39.13434,0.1789,6.4777,69.7,613,406,562
33.4,40,26,73,40.40106,0.1758,6.3775,71.2,597,409,557
27.9,40,26,73,39.07344,0.1926,6.4217,68.6,608,398,551
27.3,40,32,82,50.07198,0.3683,6.6039,77.4,570,503,629
29.8,40,32,82,51.69192,0.3524,6.5613,79.3,566,508,618
24.9,40,32,82,48.89052,0.3589,6.6472,75.2,562,497,632
38.1,45,20,62,32.83652,0.1675,5.8167,67.2,352,128,198
41.2,45,20,62,33.82476,0.1704,5.8229,68.1,344,135,195
35.1,45,20,62,33.4654,0.1682,5.7587,66.4,339,141,207
35.1,45,26,73,51.38848,0.3311,6.71,76.2,621,392,547
38.2,45,26,73,50.66976,0.3251,6.7458,77.2,615,387,543
32.3,45,26,73,48.30023,0.3378,6.7119,74.5,623,385,536
31.8,45,32,82,52.52271,0.4142,7.9131,84.1,565,483,608
34.4,45,32,82,53.06175,0.4037,7.6842,86.3,569,479,613
29.5,45,32,82,53.20774,0.4128,7.7917,83.2,568,477,599
43.3,50,20,62,33.71019,0.1749,6.7782,75.6,353,123,189
46.5,50,20,62,32.46556,0.1842,6.8241,76.6,348,134,197
40.2,50,20,62,33.93808,0.1817,6.8615,74.8,341,123,187
40.1,50,26,73,36.72535,0.1622,9.0639,83.3,618,348,523
43.7,50,26,73,37.40902,0.1725,9.1167,84.4,622,346,518
36.5,50,26,73,39.98593,0.1637,9.1056,81.7,616,352,529
36.1,50,32,82,53.06356,0.3726,9.7214,91.2,556,435,591
39.1,50,32,82,49.56183,0.3654,9.6687,92.8,561,448,583
33.2,50,32,82,51.23278,0.3689,9.6352,89.6,559,442,597
49.6,55,20,62,33.24128,0.1846,7.3215,79.4,351,118,184
53.9,55,20,62,32.11711,0.1798,7.1364,81.1,339,121,187
45.5,55,20,62,32.64362,0.1837,7.2437,78.2,336,126,188
45.5,55,26,73,35.46116,0.3621,9.7925,90.7,609,338,501
49.6,55,26,73,33.68241,0.3746,9.8405,92.1,613,333,489
41.5,55,26,73,34.93465,0.3782,9.7136,88.4,602,339,506
41.3,55,32,82,45.29409,0.2456,10.0228,98.5,554,413,576
44.8,55,32,82,46.17635,0.2504,10.1137,100.8,552,422,595
37.9,55,32,82,45.08064,0.2583,10.2351,96.2,558,412,567
56.9,60,20,62,30.38546,0.1825,8.3408,84.5,337,105,178
62.1,60,20,62,28.70637,0.1709,8.4128,85.3,348,107,177
51.8,60,20,62,30.04155,0.1937,8.3957,82.6,344,99,186
52.6,60,26,73,32.93444,0.0663,11.3443,96.2,604,302,479
57.1,60,26,73,30.83052,0.0917,11.2049,98.3,614,297,486
47.8,60,26,73,34.02686,0.1028,11.2975,94.6,611,306,472
48,60,32,82,56.88676,0.3572,11.6873,107.8,562,368,553
52.1,60,32,82,60.02241,0.3657,11.527,109.7,560,373,546
44.2,60,32,82,59.59758,0.3609,11.5591,105.2,567,367,542
